order_id,restaurant_name,restaurant_area,cuisine_type,order_date,order_time,day_of_week,customer_id,customer_area,distance_km,items_ordered,order_value,discount_applied,final_amount,payment_mode,delivery_partner_id,pickup_time_mins,delivery_time_mins,total_time_mins,weather,traffic_level,vehicle_type,customer_rating,food_rating,delivery_rating,order_again
FD017,Hyderabad House,Banjara Hills,Indian,2024-01-13,13:30,Saturday,CU117,Jubilee Hills,2.8,3,820,70,750,Credit Card,DP07,15,28,43,Cloudy,Medium,Bike,4,5,4,Yes
FD018,Pizza Hut,Madhapur,Italian,2024-01-13,20:15,Saturday,CU118,Kondapur,3.0,4,760,0,760,UPI,DP08,8,32,40,Rainy,High,Bike,2,3,2,No
FD019,Zomato Kitchen,Gachibowli,Multi-Cuisine,2024-01-14,14:00,Sunday,CU119,Manikonda,2.0,3,520,30,490,Debit Card,DP09,10,20,30,Clear,Low,Bike,5,4,5,Yes
FD020,Biryani Blues,Banjara Hills,Indian,2024-01-14,19:00,Sunday,CU120,Jubilee Hills,3.5,4,720,60,660,UPI,DP10,12,35,47,Clear,Medium,Bike,4,5,4,Yes
FD021,Burger King,Hitech City,Fast Food,2024-01-15,12:45,Monday,CU101,Kondapur,4.0,3,380,20,360,Credit Card,DP01,8,38,46,Clear,High,Bike,3,4,3,Yes
FD022,Saravana Bhavan,Ameerpet,South Indian,2024-01-15,08:00,Monday,CU121,SR Nagar,3.5,3,280,0,280,COD,DP02,10,35,45,Clear,Medium,Bike,4,5,4,Yes
FD023,Behrouz Biryani,Jubilee Hills,Indian,2024-01-16,13:15,Tuesday,CU122,Banjara Hills,2.5,2,880,0,880,UPI,DP03,12,25,37,Cloudy,Low,Bike,5,5,5,Yes
FD024,Domino's,Kukatpally,Italian,2024-01-16,20:30,Tuesday,CU123,KPHB,1.5,3,480,40,440,Debit Card,DP04,7,18,25,Clear,Low,Bike,4,3,5,Yes
FD025,Pind Balluchi,Secunderabad,North Indian,2024-01-17,19:45,Wednesday,CU124,Begumpet,3.2,4,950,80,870,Credit Card,DP05,15,32,47,Rainy,High,Bike,,4,1,No
FD026,Paradise Biryani,Secunderabad,Indian,2024-01-17,12:30,Wednesday,CU125,Trimulgherry,2.8,5,920,70,850,UPI,DP06,18,28,46,Clear,Medium,Bike,5,5,5,Yes
FD027,Chipotle,Madhapur,Mexican,2024-01-18,15:45,Thursday,CU126,Hitech City,2.0,2,460,0,460,Credit Card,DP07,8,20,28,Clear,Low,Bike,4,4,4,Yes
FD028,KFC,Gachibowli,Fast Food,2024-01-18,20:00,Thursday,CU127,Manikonda,3.8,4,420,30,390,UPI,DP08,10,38,48,Cloudy,Medium,Bike,3,4,3,Yes
FD029,Barbeque Nation,Banjara Hills,Multi-Cuisine,2024-01-19,21:00,Friday,CU128,Jubilee Hills,2.5,8,2200,200,2000,Credit Card,DP09,20,25,45,Clear,Low,Bike,5,5,5,Yes
FD030,McDonald's,Hitech City,Fast Food,2024-01-19,14:30,Friday,CU129,Kondapur,1.8,3,380,0,380,COD,DP10,10,18,28,Clear,Medium,Bike,4,4,4,Yes
FD031,Chettinad Kitchen,Ameerpet,South Indian,2024-01-20,13:00,Saturday,CU130,Somajiguda,4.0,4,620,50,570,UPI,DP01,15,40,55,Rainy,High,Bike,2,5,2,No
FD032,Hyderabad House,Banjara Hills,Indian,2024-01-20,19:30,Saturday,CU131,Jubilee Hills,3.0,3,780,60,720,Debit Card,DP02,15,30,45,Clear,Medium,Bike,4,5,4,Yes
FD033,Wow Momo,Kukatpally,Fast Food,2024-01-21,16:15,Sunday,CU132,KPHB,1.2,5,340,0,340,UPI,DP03,6,12,18,Clear,Low,Bike,5,4,5,Yes
FD034,Faasos,Kondapur,Fast Food,2024-01-21,19:00,Sunday,CU133,Madhapur,2.0,3,420,25,395,Credit Card,DP04,8,20,28,Cloudy,Medium,Bike,3,3,4,Yes
FD035,Oven Story,Hitech City,Italian,2024-01-22,20:30,Monday,CU134,Gachibowli,2.8,2,620,0,620,UPI,DP05,10,28,38,Clear,Low,Bike,,4,5,Yes
