Employee_ID,Age,Gender,Department,Experience_Years,Monthly_Salary,Performance_Rating,Work_Life_Balance,Job_Satisfaction,Attrition_Status
E1036,28,Female,Marketing,10,193183,4,Good,2,Yes
E1037,24,Male,HR,6,194853,3,Poor,3,No
E1038,37,Female,Software,7,89966,2,Good,4,No
E1039,39,Female,Software,16,114839,2,Poor,8,Yes
E1040,27,Male,Sales,8,74245,4,Average,4,No
E1041,21,Female,Sales,11,60695,4,Poor,4,Yes
E1042,32,Male,Sales,22,155732,5,Poor,7,No
E1043,30,Male,HR,22,61404,4,Poor,7,No
E1044,60,Male,HR,14,53176,2,Good,3,No
E1045,58,Male,Testing,11,134197,5,Poor,9,No
E1046,24,Male,Software,7,189539,5,Poor,1,Yes
E1047,26,Female,Testing,12,183114,5,Average,6,No
E1048,54,Female,Software,24,36527,3,Average,8,No
E1049,59,Male,DevOps,3,171069,3,Good,4,No
E1050,54,Female,Data Science,23,68745,5,Poor,9,No
E1051,47,Female,Software,21,37627,3,Poor,2,Yes
E1052,60,Male,Sales,18,81581,5,Poor,1,Yes
E1053,51,Male,DevOps,16,46424,4,Average,4,No
E1054,23,Male,HR,18,34193,2,Poor,7,Yes
E1055,44,Male,Marketing,24,111012,4,Average,9,No
E1056,58,Male,Sales,19,36009,5,Average,5,Yes
E1057,54,Male,Marketing,19,174558,3,Poor,5,Yes
E1058,48,Male,Testing,6,143326,1,Average,9,No
E1059,46,Female,Support,10,127711,2,Good,3,No
E1060,28,Female,Sales,3,186815,1,Average,3,No
E1061,33,Female,Marketing,14,177675,2,Average,2,No
E1062,54,Female,Sales,4,52708,3,Average,3,Yes
E1063,31,Male,Testing,23,29544,2,Good,10,No
E1064,40,Female,Testing,23,97663,4,Average,6,No
E1065,57,Female,Software,9,168043,2,Poor,8,Yes
E1066,39,Female,Marketing,22,102200,2,Good,1,No
E1067,40,Female,Data Science,16,91421,2,Poor,7,No
E1068,27,Female,Data Science,1,30262,5,Good,7,Yes
E1069,28,Female,Testing,1,192697,1,Poor,7,Yes
E1070,40,Female,DevOps,15,194149,1,Good,4,Yes
E1071,50,Female,Data Science,13,45983,4,Average,8,No
E1072,24,Female,Data Science,20,166439,4,Good,9,No
E1073,56,Female,Software,11,43791,1,Average,2,No
E1074,33,Male,Marketing,20,35514,3,Average,6,No
E1075,27,Female,Data Science,18,123451,4,Good,7,No
E1076,51,Male,Data Science,10,127843,2,Average,8,No
E1077,27,Male,Testing,17,47637,4,Good,4,No
E1078,44,Male,Support,15,159206,1,Poor,6,No
E1079,35,Female,Software,18,97989,1,Good,4,Yes
E1080,42,Female,Testing,0,105987,5,Good,6,No
E1081,26,Female,HR,10,57209,3,Good,8,No
E1082,56,Female,Data Science,8,59944,1,Average,1,Yes
E1083,41,Female,Testing,3,195104,4,Average,2,No
E1084,55,Female,Sales,18,63575,1,Good,8,No
E1085,48,Female,Support,10,97274,3,Good,6,No
E1086,42,Male,HR,22,28146,2,Average,4,No
E1087,32,Female,Support,21,107912,3,Good,7,No
E1088,32,Female,Testing,20,110576,5,Good,7,No
E1089,49,Female,Support,12,188930,1,Average,5,No
E1090,51,Male,Sales,7,158427,2,Good,3,Yes
E1091,51,Female,Marketing,11,154391,5,Good,6,No
E1092,38,Male,Sales,15,42690,2,Poor,6,No
E1093,52,Female,Marketing,7,73989,3,Good,4,Yes
E1094,47,Female,Sales,8,113327,2,Average,3,No
E1095,39,Female,Testing,1,34950,2,Good,2,No
E1096,28,Male,Software,1,174129,3,Good,1,No
E1097,55,Male,Data Science,19,62255,5,Poor,8,No
E1098,55,Female,Sales,17,55776,5,Poor,5,Yes
E1099,39,Male,Support,2,139281,3,Good,5,No
E1100,46,Male,Marketing,21,97260,4,Average,2,No
E1101,44,Male,Support,5,137658,5,Average,7,No
E1102,40,Male,Support,21,138495,1,Poor,4,Yes
E1103,39,Male,HR,5,156624,4,Poor,9,No
E1104,26,Female,Data Science,24,155334,4,Good,8,No
E1105,53,Male,Support,11,89969,1,Average,5,No
E1106,29,Male,Testing,16,131153,5,Poor,6,Yes
E1107,27,Male,Software,23,109822,5,Good,5,No
E1108,39,Female,Sales,2,48020,2,Poor,7,No
E1109,40,Female,Sales,24,121913,4,Poor,6,No
E1110,21,Male,Data Science,25,166300,3,Average,5,No
E1111,57,Female,Support,2,188675,1,Poor,9,No
E1112,36,Male,Sales,8,162603,2,Poor,8,Yes
E1113,32,Female,Software,19,179604,4,Good,10,No
E1114,59,Male,Sales,16,39162,5,Average,2,Yes
E1115,50,Female,Testing,14,169563,1,Average,3,No
E1116,48,Male,Marketing,8,158752,5,Average,5,No
E1117,28,Male,HR,19,120377,3,Poor,8,Yes
E1118,32,Male,DevOps,24,61833,2,Good,5,No
E1119,55,Male,Testing,20,74193,1,Poor,6,Yes
E1120,32,Female,Software,8,109748,1,Average,1,No
E1121,57,Male,HR,0,32323,3,Average,8,No
E1122,55,Female,Testing,1,199809,5,Good,8,Yes
E1123,33,Male,Marketing,2,79097,4,Average,9,No
E1124,27,Male,Sales,15,95945,3,Good,7,No
E1125,41,Male,HR,15,122730,1,Good,4,No
E1126,39,Female,Software,13,152348,4,Good,6,No
E1127,24,Female,Sales,20,68793,5,Good,8,No
E1128,37,Female,Support,25,109581,4,Average,2,Yes
E1129,58,Male,Data Science,20,114557,2,Good,10,Yes
E1130,25,Female,Data Science,2,27956,1,Poor,8,No
E1131,27,Female,Data Science,16,115831,2,Poor,2,Yes
E1132,55,Male,Marketing,9,108915,5,Good,7,No
E1133,49,Male,HR,0,128331,2,Poor,1,Yes
E1134,36,Male,Data Science,12,27068,1,Poor,3,Yes
E1135,41,Female,Support,16,113855,4,Poor,5,No
E1136,54,Male,Data Science,14,132689,2,Poor,4,Yes
E1137,41,Male,DevOps,22,196589,4,Poor,3,No
E1138,44,Female,Data Science,9,115848,4,Average,3,No
E1139,35,Female,HR,12,65113,3,Good,1,No
E1140,59,Female,Marketing,17,75488,4,Average,4,Yes
E1141,43,Male,Software,23,95596,2,Poor,9,Yes
E1142,43,Female,Support,6,105498,5,Good,4,Yes
E1143,59,Female,Sales,4,98274,2,Poor,7,No
E1144,34,Female,Support,14,155730,5,Good,1,No
E1145,54,Female,Data Science,13,166396,5,Average,7,No
E1146,24,Female,DevOps,9,155515,2,Poor,7,No
E1147,59,Female,HR,7,149399,4,Good,6,No
E1148,46,Female,DevOps,14,196918,5,Good,7,No
E1149,27,Male,DevOps,24,164757,1,Average,5,No
E1150,39,Male,Testing,21,152587,3,Average,6,No
E1151,41,Female,HR,22,151435,1,Average,7,No
E1152,35,Male,Marketing,2,58415,2,Poor,6,Yes
E1153,47,Male,DevOps,6,72406,3,Poor,10,No
E1154,43,Male,Data Science,23,130159,3,Good,7,No
E1155,28,Male,Testing,22,141836,5,Good,9,No
E1156,32,Male,HR,10,73022,1,Good,6,Yes
E1157,47,Female,Support,12,170747,3,Average,5,No
E1158,30,Male,Marketing,8,44589,1,Average,1,Yes
E1159,56,Male,Support,4,62834,4,Average,6,No
E1160,48,Female,Data Science,18,95866,5,Average,1,Yes
E1161,37,Male,Testing,24,71921,4,Good,10,No
E1162,58,Female,Sales,22,147514,1,Good,9,No
E1163,29,Female,Testing,17,69225,2,Poor,6,Yes
E1164,48,Male,Software,5,112000,2,Average,7,No
E1165,52,Female,Support,1,115476,4,Poor,10,No
E1166,34,Male,Sales,12,75853,5,Average,8,No
E1167,39,Female,Support,7,183620,4,Average,4,No
E1168,60,Female,HR,17,190782,4,Good,9,No
E1169,48,Female,HR,10,159917,2,Average,6,No
E1170,21,Male,HR,10,55681,1,Average,2,Yes
E1171,26,Male,Marketing,13,106269,3,Good,2,No
E1172,30,Male,Testing,7,62199,3,Poor,2,No
E1173,46,Female,Data Science,14,145760,1,Average,3,Yes
E1174,36,Male,Support,8,191895,5,Good,3,No
E1175,29,Female,DevOps,22,167059,4,Average,10,No
E1176,57,Male,DevOps,7,83393,1,Average,6,No
E1177,35,Female,HR,13,56185,3,Average,6,No
E1178,21,Female,Testing,1,110584,2,Average,9,No
E1179,25,Female,Support,3,189812,2,Good,6,Yes
E1180,32,Female,Sales,11,175750,2,Average,2,No
E1181,43,Female,DevOps,6,98869,1,Poor,9,No
E1182,49,Male,Sales,6,110453,2,Poor,4,Yes
E1183,52,Male,DevOps,16,103790,4,Good,8,No
E1184,44,Female,Marketing,3,64497,4,Poor,10,No
E1185,49,Male,Support,17,92567,3,Good,8,No
E1186,48,Female,Sales,10,137951,5,Good,10,No
E1187,25,Male,Support,14,52567,2,Good,6,No
E1188,52,Male,Software,12,100874,3,Good,6,No
E1189,35,Male,Data Science,18,66367,1,Poor,8,No
E1190,30,Female,HR,24,31797,2,Poor,6,Yes
E1191,48,Male,Testing,14,76324,5,Good,8,No
E1192,37,Male,Sales,14,114319,1,Poor,9,Yes
E1193,48,Female,Software,22,165747,1,Average,8,No
E1194,33,Male,Testing,19,100977,4,Poor,9,No
E1195,41,Male,Software,7,70742,2,Poor,6,No
E1196,23,Male,Software,13,126892,5,Good,10,No
E1197,46,Male,Marketing,22,102241,4,Poor,7,No
E1198,60,Female,DevOps,23,189931,3,Average,4,No
E1199,57,Female,Support,7,128875,5,Average,2,No
E1200,39,Female,Marketing,7,188095,5,Good,5,No
E1201,34,Male,Software,11,100400,5,Average,2,No
E1202,36,Male,Marketing,4,140251,4,Good,9,No
E1203,42,Female,Testing,8,164903,3,Good,2,No
E1204,45,Male,Sales,8,39469,4,Good,10,Yes
E1205,59,Female,DevOps,0,161806,4,Good,2,No
E1206,21,Male,Support,17,62788,2,Poor,8,Yes
E1207,54,Male,DevOps,3,71069,3,Poor,2,No
E1208,30,Female,HR,1,190885,2,Poor,7,Yes
E1209,39,Male,Marketing,10,117069,3,Average,8,No
E1210,57,Male,DevOps,11,106851,2,Average,7,No
E1211,33,Male,Software,25,40846,2,Good,9,No
E1212,27,Male,DevOps,15,181273,5,Average,5,No
E1213,58,Male,Data Science,19,78297,4,Poor,3,No
E1214,27,Female,HR,15,162053,3,Average,5,No
E1215,44,Male,Data Science,6,68784,1,Poor,1,Yes
E1216,55,Female,Data Science,24,90628,1,Good,2,No
E1217,44,Female,Data Science,25,126393,4,Poor,9,No
E1218,35,Male,Software,23,184141,5,Poor,1,Yes
E1219,46,Female,Testing,16,85942,5,Poor,8,Yes
E1220,26,Male,Data Science,23,62227,5,Poor,3,Yes
E1221,41,Female,Sales,10,120057,1,Average,6,No
E1222,27,Male,Support,6,117002,5,Good,1,No
E1223,26,Female,Sales,10,56281,2,Poor,7,Yes
E1224,50,Female,Software,1,156470,1,Poor,2,Yes
E1225,38,Female,Marketing,18,94155,5,Poor,10,Yes
E1226,58,Male,HR,8,39194,1,Average,1,Yes
E1227,31,Male,HR,16,55138,3,Good,4,No
E1228,29,Female,Testing,17,61457,5,Average,6,No
E1229,32,Female,Data Science,17,149380,5,Average,8,No
E1230,59,Male,HR,11,139979,2,Average,5,No
E1231,49,Male,Marketing,16,181571,5,Poor,7,No
E1232,28,Female,HR,8,51681,5,Average,10,No
E1233,36,Female,DevOps,18,93726,2,Good,10,No
E1234,37,Female,Support,10,31937,1,Average,8,Yes
E1235,50,Male,Testing,11,78021,3,Good,9,No
E1236,60,Female,Software,9,193056,1,Average,4,Yes
E1237,37,Male,Data Science,20,197320,2,Average,6,No
E1238,51,Female,Testing,21,180206,3,Poor,5,No
E1239,35,Male,Sales,18,122862,5,Good,3,No
E1240,29,Female,HR,2,146885,4,Poor,4,Yes
E1241,49,Female,Marketing,11,138318,2,Good,7,No
E1242,36,Female,Support,24,44722,1,Average,8,No
E1243,24,Female,DevOps,20,44358,1,Good,4,No
E1244,24,Male,Testing,3,139730,2,Poor,1,Yes
E1245,29,Female,Support,15,134690,5,Good,3,Yes
E1246,56,Female,Marketing,3,50583,5,Good,5,No
E1247,42,Female,Marketing,11,92522,3,Poor,3,No
E1248,29,Male,Marketing,1,95777,3,Average,6,No
E1249,28,Male,Sales,24,100357,2,Poor,6,Yes
E1250,33,Female,Marketing,2,86164,3,Poor,2,Yes
E1251,48,Male,HR,13,177708,4,Poor,6,No
E1252,56,Female,Software,5,109642,3,Average,9,No
E1253,50,Male,Software,25,37898,1,Good,2,No
E1254,38,Male,Testing,10,47569,5,Good,4,No
E1255,24,Male,Marketing,21,124109,2,Average,10,Yes
E1256,31,Female,DevOps,11,25973,4,Poor,5,Yes
E1257,57,Male,DevOps,25,100521,1,Poor,1,Yes
E1258,37,Female,Support,11,179186,5,Average,2,Yes
E1259,30,Female,Marketing,6,144420,5,Average,3,Yes
E1260,45,Male,Data Science,18,124597,3,Good,5,No
E1261,42,Male,Sales,16,86875,5,Average,2,No
E1262,25,Male,Testing,0,90421,1,Poor,9,No
E1263,22,Female,Data Science,7,101744,2,Good,1,No
E1264,41,Male,Marketing,13,175999,5,Good,3,No
E1265,30,Female,Data Science,4,91168,1,Poor,3,Yes
E1266,47,Female,DevOps,17,113106,5,Poor,7,Yes
E1267,40,Female,Testing,4,91667,1,Good,3,No
E1268,32,Female,Marketing,19,26878,2,Good,1,No
E1269,52,Female,Marketing,2,100926,5,Average,6,No
E1270,44,Male,Data Science,18,69647,1,Average,3,No
E1271,54,Male,Marketing,4,103077,3,Poor,6,No
E1272,46,Male,Data Science,9,79507,2,Average,10,No
E1273,32,Male,DevOps,18,68869,3,Good,10,No
E1274,39,Female,Sales,13,117329,1,Good,2,Yes
E1275,35,Male,Support,18,197833,5,Average,1,No
E1276,26,Male,Marketing,2,92262,3,Poor,10,Yes
E1277,21,Female,Marketing,24,29550,4,Average,8,No
E1278,51,Female,Testing,17,31145,5,Good,7,Yes
E1279,40,Male,Testing,24,63621,4,Average,7,No
E1280,26,Female,Support,9,143821,2,Poor,6,Yes
E1281,59,Female,Support,13,186269,4,Average,6,No
E1282,46,Female,Sales,25,66830,1,Average,10,No
E1283,46,Female,Sales,10,165221,3,Good,2,Yes
E1284,43,Male,Marketing,22,171417,1,Average,3,No
E1285,59,Male,Testing,12,45364,4,Average,6,No
E1286,34,Male,DevOps,3,44303,2,Poor,8,No
E1287,51,Female,Software,9,41745,1,Average,2,No
E1288,49,Male,Data Science,24,43952,4,Good,8,No
E1289,49,Female,Sales,9,150335,4,Average,2,No
E1290,60,Male,Software,25,46867,4,Average,7,No
E1291,45,Male,Testing,5,67967,3,Poor,2,Yes
E1292,52,Female,HR,15,140648,4,Good,3,No
E1293,31,Male,Software,9,151246,5,Poor,4,Yes
E1294,23,Female,Software,8,62409,3,Average,2,No
E1295,21,Male,HR,22,52274,4,Poor,8,Yes
E1296,37,Male,Software,16,198682,1,Poor,4,Yes
E1297,44,Female,Marketing,16,185716,2,Poor,9,No
E1298,59,Male,Sales,19,147196,4,Good,2,Yes
E1299,53,Female,Sales,5,43300,1,Poor,5,No
E1300,31,Female,Testing,17,36769,4,Good,8,No
E1301,52,Female,DevOps,2,161490,2,Poor,5,Yes
E1302,52,Female,Sales,3,85002,3,Good,7,No
E1303,22,Female,Marketing,15,57987,2,Average,4,Yes
E1304,29,Male,HR,20,65632,1,Good,9,No
E1305,51,Male,Marketing,0,87671,1,Good,4,Yes
E1306,28,Female,HR,11,87728,1,Poor,2,Yes
E1307,24,Female,Support,23,100500,1,Poor,5,Yes
E1308,43,Female,Sales,6,168879,5,Good,4,No
E1309,25,Female,HR,21,173986,5,Poor,8,Yes
E1310,55,Female,Data Science,15,199232,4,Good,3,No
E1311,52,Male,Testing,6,178199,5,Average,3,Yes
E1312,49,Male,Software,2,86673,5,Average,10,No
E1313,21,Female,Marketing,4,102582,1,Poor,4,Yes
E1314,26,Female,HR,22,127849,1,Average,8,No
E1315,54,Female,Testing,8,46882,1,Average,1,No
E1316,21,Male,Testing,4,199445,1,Good,8,Yes
E1317,49,Male,DevOps,16,189033,3,Poor,7,No
E1318,39,Female,Testing,19,171980,1,Good,9,No
E1319,32,Female,Testing,8,79231,4,Poor,2,Yes
E1320,53,Female,Sales,18,151579,4,Poor,7,No
E1321,45,Female,Software,14,34901,2,Poor,6,No
E1322,29,Female,Support,8,162291,4,Average,7,No
E1323,42,Female,Support,15,168528,4,Good,9,No
E1324,35,Female,HR,17,70532,5,Poor,5,No
E1325,57,Male,Sales,14,128589,1,Poor,5,No
E1326,40,Male,Testing,22,71791,1,Poor,8,No
E1327,37,Female,Data Science,23,65067,1,Poor,1,No
E1328,37,Female,DevOps,4,98268,2,Poor,10,No
E1329,22,Male,Data Science,11,79826,2,Average,6,No
E1330,22,Female,Data Science,0,64959,1,Poor,8,Yes
E1331,58,Male,Software,8,106521,5,Poor,3,Yes
E1332,51,Female,Support,2,103488,2,Poor,5,Yes
E1333,37,Male,Testing,4,189941,4,Good,9,No
E1334,29,Female,Testing,21,100247,2,Good,10,No
E1335,38,Female,DevOps,1,176976,3,Good,1,Yes
E1336,35,Female,DevOps,25,195649,2,Good,6,No
E1337,26,Female,Sales,17,132110,5,Good,2,No
E1338,58,Male,Data Science,5,80152,1,Good,1,No
E1339,23,Male,HR,21,102104,3,Average,8,No
E1340,32,Female,Testing,0,46860,4,Average,8,No
E1341,48,Female,Sales,13,61060,5,Good,6,No
E1342,35,Female,DevOps,8,132586,3,Average,8,No
E1343,34,Male,Software,3,196424,4,Average,6,No
E1344,36,Female,Data Science,3,53272,3,Average,1,Yes
E1345,45,Female,Support,0,103615,3,Poor,8,No
E1346,54,Male,Data Science,8,120612,5,Poor,1,Yes
E1347,30,Male,HR,1,143249,1,Good,3,No
E1348,23,Male,Sales,19,131319,2,Average,4,Yes
E1349,60,Male,Testing,20,158069,4,Poor,9,Yes
E1350,57,Female,HR,10,181276,3,Average,4,No
E1351,59,Female,Support,17,145013,1,Average,4,No
E1352,51,Male,Sales,19,73305,3,Average,10,No
E1353,43,Male,DevOps,4,70212,1,Good,2,No
E1354,40,Male,Testing,16,29076,1,Poor,1,No
E1355,55,Male,Support,7,69257,5,Average,1,No
E1356,51,Female,HR,15,159556,5,Average,2,No
E1357,46,Male,Software,0,173972,2,Average,8,No
E1358,46,Male,Marketing,21,61947,2,Good,10,No
E1359,40,Female,Data Science,3,135901,1,Poor,9,No
E1360,59,Female,Sales,20,86646,3,Poor,9,No
E1361,37,Female,Data Science,4,137783,3,Average,3,No
E1362,54,Female,Sales,15,58497,2,Good,7,No
E1363,40,Female,Software,12,161929,2,Good,7,No
E1364,31,Female,Marketing,2,32524,2,Good,10,No
E1365,29,Female,Data Science,2,196547,3,Poor,5,No
E1366,24,Female,Software,6,29590,3,Good,4,Yes
E1367,54,Male,Support,3,101164,4,Good,9,No
E1368,28,Female,Testing,5,172875,2,Average,7,No
E1369,37,Male,Software,1,167381,4,Average,4,Yes
E1370,48,Female,Software,6,90248,1,Average,8,No
E1371,58,Male,Sales,15,73029,3,Average,4,Yes
E1372,57,Male,Software,12,175197,5,Average,9,No
E1373,30,Female,Testing,20,173366,2,Poor,3,Yes
E1374,59,Male,DevOps,3,50828,3,Good,10,No
E1375,52,Male,HR,13,82639,4,Average,2,No
E1376,46,Male,DevOps,10,117927,2,Poor,5,No
E1377,44,Male,Software,20,151187,5,Poor,2,No
E1378,24,Male,Testing,11,112687,2,Good,6,No
E1379,54,Female,DevOps,16,130208,2,Good,1,No
E1380,43,Male,Testing,8,93894,4,Good,4,Yes
E1381,57,Female,Marketing,13,179862,4,Average,3,No
E1382,37,Male,Data Science,11,80749,3,Average,8,No
E1383,47,Female,Software,21,50627,1,Good,5,No
E1384,36,Female,Testing,24,80772,3,Average,2,No
E1385,59,Female,Data Science,6,37796,5,Average,8,Yes
E1386,39,Male,HR,9,56463,1,Poor,6,No
E1387,24,Male,Software,3,159034,3,Good,6,No
E1388,57,Male,DevOps,25,126318,4,Poor,5,No
E1389,32,Female,Data Science,16,34920,1,Good,6,No
E1390,54,Female,Marketing,3,87507,3,Poor,4,No
E1391,49,Male,Support,12,107303,5,Average,7,No
E1392,21,Female,Software,16,28322,5,Poor,4,Yes
E1393,60,Female,Testing,5,149875,4,Poor,3,No
E1394,26,Male,Marketing,6,116719,4,Good,5,No
E1395,47,Male,Testing,3,147301,4,Good,2,No
E1396,54,Female,Sales,7,168894,1,Average,3,Yes
E1397,51,Male,Marketing,14,64804,1,Good,9,No
E1398,60,Male,Testing,20,77807,1,Poor,4,No
E1399,22,Female,Support,11,153585,3,Good,4,No
E1400,25,Female,Sales,23,41009,3,Poor,1,Yes
E1401,45,Female,Data Science,14,179344,4,Average,3,Yes
E1402,34,Female,HR,7,146417,5,Poor,2,Yes
E1403,37,Male,DevOps,8,26381,2,Good,2,Yes
E1404,44,Male,Sales,14,178604,5,Good,8,No
E1405,35,Female,HR,16,196522,5,Good,10,No
E1406,39,Male,Marketing,7,42054,5,Good,4,Yes
E1407,34,Female,HR,12,36844,5,Poor,5,Yes
E1408,26,Male,Sales,5,31343,4,Good,7,No
E1409,28,Male,Testing,11,164410,5,Poor,7,No
E1410,33,Female,Testing,25,177818,1,Average,10,No
E1411,43,Male,Data Science,4,188348,3,Average,1,Yes
E1412,52,Male,Sales,25,75805,2,Poor,7,No
E1413,36,Male,Data Science,8,138341,1,Average,5,No
E1414,35,Male,Testing,23,182452,5,Poor,8,No
E1415,45,Female,Software,8,182230,5,Poor,7,No
E1416,41,Male,Marketing,11,26422,5,Poor,1,Yes
E1417,46,Male,Software,23,175078,4,Good,5,No
E1418,57,Female,DevOps,15,196347,5,Average,8,No
E1419,59,Male,Support,15,130884,4,Average,7,No
E1420,49,Male,Testing,6,134603,4,Poor,2,Yes
E1421,50,Female,Sales,8,43243,1,Good,6,No
E1422,59,Female,Data Science,11,112427,1,Average,8,No
E1423,30,Male,HR,23,65994,3,Average,5,No
E1424,39,Female,Data Science,13,175599,4,Average,6,No
E1425,29,Female,Sales,11,63693,3,Average,5,No
E1426,32,Female,DevOps,20,71227,5,Poor,8,No
E1427,35,Female,HR,5,29462,2,Good,6,Yes
E1428,42,Male,Marketing,20,37005,3,Average,10,No
E1429,42,Male,Sales,13,54389,4,Good,8,No
E1430,26,Female,HR,0,121991,2,Good,8,No
E1431,25,Female,Support,18,183851,2,Poor,9,No
E1432,37,Male,DevOps,1,160878,4,Good,5,No
E1433,23,Female,Marketing,12,182601,4,Poor,9,No
E1434,60,Female,Data Science,11,87709,4,Good,10,No
E1435,41,Female,Software,6,129710,3,Good,7,No
E1436,47,Male,Software,23,53009,3,Average,10,No
E1437,32,Female,HR,6,123308,2,Average,3,No
E1438,52,Male,Testing,5,63847,4,Average,4,No
E1439,37,Female,Data Science,11,187449,1,Poor,8,No
E1440,49,Male,HR,16,67592,2,Good,2,Yes
E1441,45,Female,HR,10,25635,3,Average,7,No
E1442,25,Female,DevOps,23,174384,4,Average,4,Yes
E1443,27,Male,Data Science,12,125338,1,Average,4,No
E1444,31,Female,Sales,4,102461,2,Poor,3,Yes
E1445,49,Male,DevOps,13,26756,5,Poor,5,Yes
E1446,48,Male,DevOps,8,165473,5,Good,9,No
E1447,37,Male,HR,24,188231,1,Average,9,No
E1448,38,Female,Marketing,4,52895,4,Good,6,No
E1449,35,Female,Testing,20,114541,1,Poor,10,No
E1450,44,Male,Support,24,143001,3,Average,7,No
E1451,28,Female,Sales,21,66642,5,Good,4,No
E1452,38,Male,Software,1,118588,1,Poor,1,Yes
E1453,25,Female,DevOps,5,76599,5,Poor,9,Yes
E1454,24,Female,Software,3,103125,4,Good,3,Yes
E1455,34,Male,Data Science,18,41656,4,Average,5,No
E1456,34,Male,HR,5,123789,3,Good,9,No
E1457,51,Female,Support,13,75206,2,Good,8,No
E1458,27,Male,Data Science,24,137880,4,Average,3,Yes
E1459,26,Male,HR,24,25703,2,Average,3,No
E1460,48,Female,Data Science,13,164640,1,Good,2,No
E1461,24,Male,HR,0,76990,2,Good,10,No
E1462,25,Male,HR,0,55059,3,Poor,1,Yes
E1463,56,Female,Data Science,18,137306,3,Good,3,No
E1464,59,Female,Software,8,57074,3,Average,7,No
E1465,55,Female,HR,13,37622,2,Poor,5,No
E1466,34,Male,Marketing,12,61917,2,Average,2,Yes
E1467,49,Female,Marketing,20,50286,2,Poor,9,No
E1468,55,Male,Data Science,1,64055,5,Average,6,No
E1469,21,Female,Data Science,5,27459,1,Average,1,Yes
E1470,50,Female,HR,21,105405,2,Poor,10,No
E1471,21,Male,HR,23,67646,1,Poor,3,Yes
E1472,43,Female,Testing,5,152479,2,Good,2,No
E1473,33,Male,Testing,16,81936,2,Poor,10,No
E1474,59,Male,Data Science,15,179910,4,Average,3,No
E1475,38,Male,Sales,9,143097,2,Average,4,Yes
E1476,48,Male,Sales,1,67834,1,Poor,6,Yes
E1477,45,Male,HR,6,139173,5,Poor,2,No
E1478,47,Male,DevOps,11,109735,4,Poor,4,Yes
E1479,59,Female,Data Science,23,175391,2,Poor,6,No
E1480,46,Male,Sales,15,124078,5,Poor,1,Yes
E1481,35,Male,HR,12,193501,1,Average,9,No
E1482,34,Female,Data Science,12,34726,3,Good,6,No
E1483,28,Female,Testing,9,197884,2,Poor,4,Yes
E1484,33,Male,HR,20,86769,4,Poor,5,Yes
E1485,43,Male,Testing,4,180672,1,Good,5,No
E1486,55,Male,Testing,9,28281,3,Good,7,No
E1487,43,Female,Sales,25,113118,3,Average,7,No
E1488,22,Female,Marketing,15,58455,2,Poor,7,Yes
E1489,55,Male,Support,5,80782,4,Good,8,No
E1490,30,Female,HR,8,110042,4,Good,10,No
E1491,59,Male,DevOps,8,141169,3,Good,4,No
E1492,27,Male,Support,8,126518,2,Poor,8,Yes
E1493,49,Male,Data Science,15,65817,2,Average,2,No
E1494,29,Female,Software,10,67373,3,Average,2,No
E1495,56,Male,HR,5,148239,3,Poor,8,No
