player_id,player_name,team,role,nationality,age,matches_played,innings_batted,runs_scored,highest_score,batting_avg,strike_rate,centuries,half_centuries,fours,sixes,innings_bowled,wickets,bowling_avg,economy_rate,best_bowling,catches,stumpings,salary_cr,mvp_awards,performance_per_crore
PL018,Kieron Pollard,Mumbai Indians,All-Rounder,West Indian,36,189,168,3412,83,30.5,155.4,0.0,16,220,260,85,69,32.1,9.0,3/16,88,0,13.0,1,262.46153846153845
PL019,Pat Cummins,Kolkata Knight Riders,Bowler,Australian,30,48,8,35,14,5.8,105.2,0.0,0,3,2,46,55,28.4,8.4,4/34,22,0,20.5,1,
PL020,Ishan Kishan,Mumbai Indians,Wicket-Keeper,Indian,25,88,84,2500,99,31.2,135.8,0.0,18,230,152,0,0,,,,52,12,14.5,1,172.41379310344828
PL021,Sam Curran,Punjab Kings,All-Rounder,English,25,52,45,820,55,21.5,125.5,0.0,3,68,45,50,42,28.8,8.8,4/11,28,0,18.5,1,44.32432432432432
PL022,Dinesh Karthik,Royal Challengers Bangalore,Wicket-Keeper,Indian,38,229,180,4200,83,25.8,148.5,0.0,12,285,188,0,0,,,,152,28,11.5,1,365.2173913043478
PL023,Kagiso Rabada,Delhi Capitals,Bowler,South African,28,62,6,18,8,3.0,88.5,0.0,0,2,1,60,72,22.8,7.8,4/21,18,0,15.5,1,
PL024,Faf du Plessis,Royal Challengers Bangalore,Batsman,South African,39,130,128,3800,96,32.8,130.5,0.0,30,385,168,0,0,,,,68,0,14.0,1,271.42857142857144
PL025,Sanju Samson,Rajasthan Royals,Wicket-Keeper,Indian,29,142,138,3800,119,29.2,140.5,1.0,26,310,195,0,0,,,,88,22,16.5,2,230.3030303030303
PL026,Glenn Maxwell,Royal Challengers Bangalore,All-Rounder,Australian,35,115,108,2950,95,29.8,162.8,0.0,22,225,210,88,60,32.5,9.2,3/25,62,0,16.0,1,184.375
PL027,Mohammed Shami,Gujarat Titans,Bowler,Indian,33,72,5,15,8,3.0,78.5,0.0,0,1,1,70,88,26.4,8.5,5/18,22,0,11.5,1,
PL028,Quinton de Kock,Lucknow Super Giants,Wicket-Keeper,South African,30,88,85,2650,140,33.5,135.8,2.0,18,268,140,0,0,,,,45,15,13.0,1,203.84615384615384
PL029,Moeen Ali,Chennai Super Kings,All-Rounder,English,36,72,62,1250,58,22.8,138.5,0.0,6,112,72,68,52,32.8,8.8,3/28,38,0,10.0,1,125.0
PL030,Shubman Gill,Gujarat Titans,Batsman,Indian,24,85,82,2850,129,38.5,135.5,2.0,22,295,132,0,0,,,,38,0,17.0,2,167.64705882352942
PL013,Chris Gayle,Punjab Kings,Batsman,West Indian,44,142,138,4965,175,40.2,148.9,2.0,34,380,320,0,0,,,,42,0,13.0,1,381.9230769230769
