CustomerID,Name,PlanType,RechargeAmount,DataUsageGB,CallMinutes,City
4059,User_59,Prepaid,2235,2.64,4921,Hyderabad
4060,User_60,Prepaid,3321,75.89,1937,Hyderabad
4061,User_61,Prepaid,3089,23.38,2495,Mumbai
4062,User_62,Prepaid,2444,92.61,4121,Chennai
4063,User_63,Postpaid,4093,80.56,3014,Delhi
4064,User_64,Postpaid,2624,69.73,293,Hyderabad
4065,User_65,Prepaid,4010,93.84,580,Mumbai
4066,User_66,Prepaid,1994,67.2,321,Chennai
4067,User_67,Postpaid,1665,96.19,3925,Hyderabad
4068,User_68,Postpaid,4649,53.52,1161,Hyderabad
4069,User_69,Postpaid,968,52.61,4221,Hyderabad
4070,User_70,Postpaid,3743,77.91,4168,Hyderabad
4071,User_71,Prepaid,3423,19.28,490,Mumbai
4072,User_72,Postpaid,682,61.77,2358,Chennai
4073,User_73,Prepaid,503,21.68,4098,Delhi
4074,User_74,Prepaid,773,63.1,3162,Hyderabad
4075,User_75,Prepaid,3524,47.73,1714,Mumbai
4076,User_76,Postpaid,2562,41.44,3559,Hyderabad
4077,User_77,Postpaid,1541,29.3,1885,Chennai
4078,User_78,Prepaid,503,23.75,3479,Delhi
4079,User_79,Postpaid,2492,79.87,199,Delhi
4080,User_80,Postpaid,4267,21.58,102,Delhi
4081,User_81,Postpaid,253,28.2,223,Hyderabad
4082,User_82,Prepaid,2641,86.78,493,Mumbai
4083,User_83,Postpaid,832,43.61,1510,Chennai
4084,User_84,Postpaid,3228,90.52,3484,Delhi
4085,User_85,Postpaid,920,10.54,4128,Chennai
4086,User_86,Postpaid,2395,74.56,3825,Hyderabad
4087,User_87,Prepaid,493,15.35,2862,Chennai
4088,User_88,Postpaid,1994,63.87,2331,Hyderabad
4089,User_89,Prepaid,4014,50.32,1729,Chennai
4090,User_90,Prepaid,1975,78.62,4323,Mumbai
4091,User_91,Postpaid,309,57.2,2249,Delhi
4092,User_92,Prepaid,3315,29.13,656,Mumbai
4093,User_93,Prepaid,2095,82.0,501,Delhi
4094,User_94,Postpaid,858,71.75,3813,Hyderabad
4095,User_95,Postpaid,2209,47.14,2741,Chennai
4096,User_96,Prepaid,2343,18.45,1220,Hyderabad
4097,User_97,Postpaid,1555,78.29,3065,Hyderabad
4098,User_98,Postpaid,4418,96.25,4743,Chennai
4099,User_99,Prepaid,1307,72.78,1908,Mumbai
4100,User_100,Postpaid,3485,70.68,521,Delhi
