customer_id,bill_date,signup_date,tenure_months,contract_type,service_type,region,city,customer_age,gender,monthly_charges,data_usage_gb,support_calls,satisfaction_score,payment_method,churn
CUST100226,2025-10-06,15/01/2024,21.0,Two year,Bundled,West,  Ahmedabad  ,31,Female,1172.88,47.8,1.0,4.0,UPI,No
CUST101558,2025-12-27,2025-10-28,2.0,Month-to-month,Mobile,South,Hyderabad,43,Male,354.44,16.9,0.0,4.0,Cash,No
CUST100891,2025-08-08,2025-05-10,3.0,Month-to-month,BROADBAND,West,Ahmedabad,36,Female,824.77,82.7,2.0,4.0,Credit Card,No
CUST101624,2025-10-17,2024-09-22,13.0,Two year,Mobile,North,  Lucknow  ,26,Male,381.16,46.8,1.0,5.0,UPI,No
CUST101588,2025-12-17,26/02/2024,22.0,Month-to-month,Mobile,North,Jaipur,31,Male,323.19,11.3,1.0,,Credit Card,Yes
CUST101992,2025-10-03,11/02/2024,20.0,Month-to-month,MOBILE,West,Surat,55,Female,412.81,32.9,1.0,5.0,Cash,No
CUST102942,2025-08-23,30/05/2024,15.0,Month-to-month,Broadband,East,Patna,50,Male,824.97,206.3,1.0,,Credit Card,No
CUST100411,2025-10-23,31/05/2024,17.0,Two year,MOBILE,West,surat,34,Male,386.48,33.8,0.0,4.0,Credit Card,No
CUST100906,2025-10-20,2025-04-23,6.0,One year,Mobile,South,Hyderabad,49,Male,456.9,30.5,0.0,5.0,UPI,No
CUST101261,2025-07-23,2024-12-25,-7.0,Two year,Bundled,West,Surat,200,Female,1146.25,14.6,0.0,5.0,Credit Card,No
CUST100968,2025-10-28,06/04/2024,18.0,Two year,Bundled,North,Chandigarh,35,Female,1183.89,82.5,0.0,5.0,UPI,No
CUST101063,2025-12-09,18/04/2024,20.0,Month-to-month,Mobile,East,Guwahati,41,Male,,44.6,0.0,5.0,UPI,No
CUST101361,2025-11-14,2025-10-15,1.0,One year,Bundled,West,pune,18,Male,1237.14,26.7,1.0,4.0,Cash,No
CUST100147,2025-12-17,2024-07-25,17.0,Two year,Broadband,North,Chandigarh,18,Female,777.9,193.0,1.0,5.0,Credit Card,No
CUST100165,2025-10-12,2024-07-19,15.0,Month-to-month,Broadband,South,Chennai,42,Male,757.1,88.6,1.0,4.0,Credit Card,No
CUST100696,2025-12-04,2025-11-04,1.0,Month-to-month,Mobile,South,Bengaluru,42,Female,369.89,17.9,0.0,5.0,Cash,Yes
CUST101498,2025-07-27,03/05/2024,14.0,One year,Broadband,North,lucknow,34,Male,854.21,207.8,2.0,4.0,Cash,No
CUST102323,2025-11-28,2025-03-03,8.0,Two year,Broadband,East,Kolkata,40,Female,733.92,211.2,0.0,5.0,Net Banking,No
CUST101159,2025-08-24,2025-03-27,5.0,Two year,Broadband,West,  Surat  ,59,Male,766.89,247.9,0.0,5.0,Credit Card,No
CUST100161,2025-09-07,2024-08-13,13.0,Two year,Bundled,West,Pune,31,Female,1143.98,39.6,0.0,5.0,UPI,No
CUST100020,2025-10-26,2025-09-26,1.0,Month-to-month,Mobile,West,  Surat  ,26,Female,437.25,21.8,1.0,3.0,Credit Card,No
CUST100143,2025-07-30,06/05/2024,14.0,Month-to-month,Bundled,East,Kolkata,29,Male,1183.77,42.3,0.0,5.0,Net Banking,No
CUST101491,2025-12-04,14/01/2024,23.0,Month-to-month,Broadband,North,Chandigarh,44,Male,863.1,6345.876140409549,0.0,5.0,UPI,No
CUST102346,2025-08-18,25/02/2024,,Month-to-month,Bundled,West,  Ahmedabad  ,45,Male,1228.81,14.7,,5.0,UPI,No
CUST102478,2025-11-28,2025-04-02,7.0,Month-to-month,Bundled,East,Patna,18,Female,1249.16,53.8,1.0,4.0,UPI,Yes
CUST102231,2025-09-29,2025-02-01,7.0,Month-to-month,BROADBAND,South,  Chennai  ,46,Female,769.48,184.7,0.0,5.0,UPI,No
CUST101155,2025-09-20,2024-11-24,10.0,One year,Broadband,North,Jaipur,29,Male,856.16,110.2,0.0,5.0,UPI,No
CUST100754,2025-11-23,2024-07-31,16.0,Month-to-month,Broadband,South,Hyderabad,24,Female,773.38,92.0,3.0,5.0,Credit Card,No
CUST101076,2025-12-11,2025-04-15,8.0,,BROADBAND,West,Mumbai,35,Female,849.52,160.1,,5.0,UPI,No
CUST101942,2025-12-15,2024-11-20,13.0,One year,BUNDLED,North,Delhi,33,Female,1141.84,22.6,1.0,5.0,UPI,No
CUST100968,2025-10-28,06/04/2024,18.0,Two year,Bundled,North,Chandigarh,35,Female,1183.89,82.5,0.0,5.0,UPI,No
CUST100322,2025-12-20,2025-01-24,11.0,One year,Mobile,West,Mumbai,36,Female,313.41,38.9,0.0,,UPI,No
CUST101024,2025-10-18,2024-07-25,15.0,One year,BUNDLED,South,  Chennai  ,39,Female,1222.21,37.3,0.0,5.0,Net Banking,No
CUST102407,2025-09-25,2024-07-02,14.0,One year,Broadband,West,Mumbai,65,Male,850.66,229.6,1.0,,Net Banking,No
CUST100501,2025-10-11,20/03/2024,19.0,Month-to-month,BROADBAND,South,bengaluru,36,Female,811.4,217.3,0.0,5.0,Net Banking,No
CUST102175,2025-10-01,2024-12-05,10.0,Two year,Broadband,North,  Delhi  ,38,Female,764.55,72.1,0.0,5.0,UPI,No
CUST102180,2025-12-21,2025-03-26,9.0,One year,Mobile,South,Bengaluru,38,Male,399.75,19.5,0.0,5.0,UPI,No
CUST101618,2025-09-27,2025-05-30,4.0,One year,MOBILE,North,  Chandigarh  ,49,Male,388.46,21.8,2.0,4.0,Credit Card,No
CUST101062,2025-09-02,2025-02-04,7.0,Month-to-month,Bundled,East,bhubaneswar,200,Male,1223.68,10.9,0.0,5.0,UPI,No
CUST102447,2025-07-12,2025-06-12,1.0,One year,Broadband,West,Pune,40,Male,796.26,197.9,1.0,,Cash,No
CUST100692,2025-10-18,2024-10-23,12.0,Month-to-month,Broadband,West,Surat,18,Female,862.15,166.0,2.0,4.0,Net Banking,No
CUST101674,2025-09-28,2025-01-01,8.0,Month-to-month,BUNDLED,West,Surat,36,Male,1191.7,63.5,0.0,5.0,Credit Card,No
CUST100142,2025-12-13,2025-05-17,7.0,Month-to-month,Broadband,East,Patna,38,Female,784.63,99.0,1.0,4.0,Credit Card,No
CUST100748,2025-09-09,2025-06-11,3.0,Month-to-month,  bundled  ,North,  Delhi  ,18,Female,1160.97,10.9,1.0,5.0,UPI,No
CUST101264,2025-11-15,2024-08-22,15.0,One year,Broadband,North,delhi,42,Male,787.77,110.4,0.0,4.0,Credit Card,No
CUST102239,2025-12-03,11/06/2024,18.0,,  mobile  ,North,Chandigarh,35,Male,390.94,40.0,0.0,5.0,Credit Card,No
CUST100929,2025-10-26,2024-12-30,10.0,One year,Mobile,North,  Delhi  ,43,Female,437.53,14.7,0.0,4.0,Credit Card,No
CUST101607,2025-10-23,02/01/2024,21.0,One year,BROADBAND,South,  Kochi  ,53,Female,,129.1,0.0,5.0,Credit Card,No
CUST101895,2025-10-13,2025-09-13,1.0,Month-to-month,Mobile,West,  Ahmedabad  ,39,Female,484.43,28.8,0.0,4.0,UPI,No
CUST100140,2025-08-04,11/04/2024,16.0,Month-to-month,Mobile,South,Chennai,22,Male,418.42,52.6,0.0,4.0,Credit Card,No
CUST101352,2025-12-14,2025-02-17,10.0,Month-to-month,Mobile,West,Pune,36,Female,313.32,42.2,0.0,5.0,Cash,No
CUST100470,2025-12-19,29/01/2024,23.0,Month-to-month,Mobile,North,Chandigarh,23,Female,351.99,58.7,0.0,4.0,Cash,Yes
CUST102867,2025-12-17,2024-10-23,14.0,Month-to-month,  mobile  ,East,  Guwahati  ,35,Female,360.61,61.3,1.0,3.0,Cash,Yes
CUST101559,2025-11-20,2024-09-26,14.0,One year,Bundled,West,Pune,42,Male,1209.81,48.1,0.0,4.0,Net Banking,No
CUST100387,2025-08-04,2025-03-07,5.0,Two year,Broadband,East,Bhubaneswar,49,Female,770.83,78.4,1.0,5.0,Credit Card,No
CUST100734,2025-09-10,2025-07-12,2.0,Month-to-month,Mobile,West,  Ahmedabad  ,23,Female,338.77,31.7,1.0,4.0,Cash,No
CUST101172,2025-09-14,22/05/2024,16.0,Month-to-month,Broadband,East,Bhubaneswar,33,Female,612.89,201.4,,3.0,Cash,No
CUST101512,2025-12-10,20/03/2024,21.0,Month-to-month,Mobile,East,Patna,36,Female,11235.708755179277,37.2,2.0,4.0,Credit Card,Yes
CUST101583,2025-11-27,2025-06-30,,Month-to-month,Mobile,South,Kochi,32,Female,403.13,48.0,0.0,,Cash,No
CUST100238,2025-09-06,14/05/2024,16.0,Month-to-month,  mobile  ,West,Mumbai,38,Male,299.34,43.8,1.0,5.0,Credit Card,No
CUST101370,2025-10-09,2024-12-13,10.0,Month-to-month,Broadband,South,Chennai,52,Male,762.4,203.5,3.0,3.0,UPI,No
CUST101646,2025-12-17,2025-08-19,4.0,Month-to-month,MOBILE,North,Delhi,150,Male,456.29,29.6,0.0,5.0,Credit Card,No
CUST101043,2025-07-19,2024-09-22,10.0,Month-to-month,Mobile,North,Jaipur,54,Female,450.4,48.1,0.0,3.0,Cash,No
CUST101172,2025-12-13,22/05/2024,19.0,Month-to-month,  broadband  ,East,Bhubaneswar,33,Female,927.89,150.6,1.0,3.0,Cash,No
CUST101418,2025-10-14,2025-08-15,2.0,Month-to-month,  bundled  ,East,Kolkata,46,Female,1267.77,12.7,0.0,4.0,Net Banking,No
CUST100329,2025-12-10,2025-06-13,6.0,Two year,Bundled,North,Delhi,29,Male,1096.74,11.2,0.0,5.0,UPI,No
CUST102829,2025-12-19,28/04/2024,20.0,Month-to-month,Mobile,West,Mumbai,31,Female,476.83,34.3,1.0,5.0,Net Banking,No
CUST101865,2025-12-21,2024-12-26,12.0,One year,  mobile  ,North,Chandigarh,44,Female,323.48,17.1,0.0,4.0,UPI,No
CUST100465,2025-09-08,2024-10-13,11.0,Two year,Broadband,North,Lucknow,39,Male,807.13,181.2,1.0,4.0,UPI,No
CUST100035,2025-10-03,2025-04-06,6.0,One year,  bundled  ,South,Kochi,34,Male,1239.2,24.0,0.0,4.0,UPI,No
CUST101225,2025-11-07,2025-09-08,2.0,Two year,Broadband,East,Patna,22,Male,862.05,121.1,0.0,5.0,Credit Card,No
CUST100921,2025-10-27,2025-03-01,7.0,Two year,MOBILE,South,Hyderabad,42,Male,435.31,35.7,0.0,5.0,Credit Card,No
CUST101565,2025-11-20,28/06/2024,17.0,Month-to-month,Mobile,South,Bengaluru,18,Male,370.24,40.0,2.0,4.0,UPI,No
CUST101270,2025-12-05,2024-12-10,,Month-to-month,Bundled,South,Chennai,22,Male,1211.72,28.1,0.0,5.0,Cash,No
CUST101381,2025-09-02,2025-08-03,1.0,Month-to-month,  mobile  ,East,Guwahati,42,Female,322.27,22.0,0.0,5.0,Cash,No
CUST100879,2025-12-25,2025-09-26,3.0,Month-to-month,  bundled  ,East,Bhubaneswar,28,Female,1191.42,28.0,0.0,5.0,UPI,No
CUST102551,2025-10-10,2025-04-13,6.0,Two year,Mobile,East,guwahati,48,Male,362.84,21.2,0.0,5.0,Cash,No
CUST102092,2025-12-15,2024-08-22,16.0,Month-to-month,Mobile,South,kochi,51,Female,370.42,4.3,1.0,2.0,Net Banking,Yes
CUST102905,2025-10-10,2024-07-17,15.0,Month-to-month,Broadband,South,Bengaluru,33,Female,748.83,222.9,2.0,3.0,Cash,No
CUST101819,2025-07-23,2025-01-24,6.0,Month-to-month,BROADBAND,North,delhi,32,Male,24010.11703098234,168.0,1.0,3.0,Credit Card,No
CUST101332,2025-12-24,2025-08-26,4.0,Two year,Mobile,South,hyderabad,27,Female,285.16,32.2,0.0,5.0,Net Banking,No
CUST100522,2025-10-18,26/05/2024,17.0,One year,Mobile,South,Chennai,31,Female,400.1,23.1,0.0,5.0,Credit Card,No
CUST102001,2025-12-01,2025-06-04,6.0,Month-to-month,  bundled  ,East,Kolkata,63,Female,1260.77,21.4,1.0,4.0,Credit Card,Yes
CUST101909,2025-12-12,2025-05-16,7.0,Two year,MOBILE,West,Mumbai,38,Male,355.93,27.9,1.0,5.0,UPI,No
CUST100279,2025-10-25,2024-08-01,,Month-to-month,Broadband,South,Kochi,18,Male,836.34,77.6,0.0,5.0,Cash,No
CUST102069,2025-12-02,2024-07-10,17.0,One year,  mobile  ,East,Guwahati,46,Female,378.58,24.7,0.0,5.0,UPI,No
CUST101398,2025-11-23,2024-11-28,12.0,Month-to-month,BROADBAND,South,Hyderabad,200,Female,912.32,137.6,0.0,5.0,Net Banking,No
CUST102089,2025-12-22,2024-09-28,15.0,Month-to-month,Mobile,North,Lucknow,31,Female,514.8,30.4,0.0,5.0,Cash,No
CUST100845,2025-12-06,2025-02-09,10.0,Month-to-month,BUNDLED,North,Jaipur,18,Male,1160.23,44.4,1.0,5.0,UPI,No
CUST101788,2025-10-28,2025-07-30,3.0,Month-to-month,Bundled,North,delhi,18,Female,1247.69,17.4,0.0,5.0,UPI,No
CUST101406,2025-10-31,10/01/2024,21.0,Month-to-month,Bundled,East,Bhubaneswar,43,Male,1110.88,23.1,0.0,,Net Banking,No
CUST102301,2025-10-29,2024-08-05,14.0,Two year,Mobile,East,Patna,47,Female,399.18,90.0,0.0,4.0,Net Banking,No
CUST102571,2025-12-06,2024-09-12,-15.0,,  bundled  ,South,Chennai,33,Male,1245.55,44.6,2.0,5.0,UPI,No
CUST102771,2025-09-16,25/01/2024,20.0,Month-to-month,Broadband,South,Chennai,57,Male,737.73,183.7,0.0,4.0,Credit Card,No
CUST100148,2025-10-31,2024-09-06,13.0,Month-to-month,MOBILE,North,Delhi,28,Female,420.4,42.3,0.0,5.0,Credit Card,No
CUST100084,2025-12-02,2025-08-04,4.0,,Broadband,South,Kochi,41,Female,799.7,41.9,2.0,3.0,Cash,Yes
CUST102188,2025-08-22,2024-11-25,,One year,Mobile,West,ahmedabad,26,Male,373.39,15.2,0.0,5.0,UPI,No
CUST100909,2025-07-13,2024-09-16,10.0,Month-to-month,  bundled  ,North,Chandigarh,28,Female,1217.26,30.4,0.0,5.0,UPI,No
CUST102425,2025-11-11,2024-10-17,13.0,Month-to-month,Broadband,West,Mumbai,40,Male,813.77,144.9,0.0,5.0,Credit Card,No
CUST101122,2025-11-24,2025-03-29,8.0,Month-to-month,Broadband,West,Surat,69,Female,760.79,277.8,0.0,5.0,Credit Card,No
CUST100703,2025-08-19,2025-02-20,6.0,Month-to-month,Bundled,East,Guwahati,55,Male,1195.2,53.1,1.0,4.0,Credit Card,No
CUST101064,2025-12-11,2025-01-15,11.0,Month-to-month,Mobile,West,Ahmedabad,30,Female,410.98,23.1,1.0,5.0,UPI,No
CUST100548,2025-11-14,2025-09-15,2.0,Month-to-month,Bundled,South,Kochi,40,Male,1212.57,33.3,3.0,4.0,Credit Card,No
CUST101344,2025-10-20,27/06/2024,16.0,Month-to-month,Bundled,South,  Kochi  ,61,Female,1180.19,15.0,0.0,5.0,Cash,No
CUST100594,2025-07-01,2024-11-03,8.0,Two year,Broadband,East,Kolkata,54,Female,723.45,91.4,0.0,,UPI,No
CUST101954,2025-12-12,2024-10-18,14.0,Month-to-month,  bundled  ,East,kolkata,67,Male,1206.69,26.1,0.0,5.0,Net Banking,No
CUST100549,2025-09-25,2025-02-27,7.0,Month-to-month,Bundled,South,Chennai,43,Male,1128.7,28.0,0.0,5.0,Cash,No
CUST102580,2025-09-03,2025-04-06,5.0,Month-to-month,Broadband,West,surat,57,Male,852.36,167.0,1.0,4.0,Credit Card,No
CUST102066,2025-10-17,2025-07-19,3.0,Month-to-month,Broadband,East,Patna,51,Female,816.85,113.0,1.0,5.0,Net Banking,No
CUST100116,2025-12-11,21/03/2024,21.0,One year,Bundled,East,Bhubaneswar,26,Female,1232.9,41.2,1.0,4.0,Cash,No
CUST102111,2025-08-22,2025-05-24,3.0,One year,Mobile,South,Bengaluru,38,Female,527.3,30.5,0.0,5.0,Cash,No
CUST102899,2025-11-03,2024-12-08,11.0,Two year,Broadband,East,Kolkata,39,Female,807.49,229.4,0.0,,Net Banking,No
CUST101771,2025-07-21,2024-10-24,9.0,One year,Bundled,North,  Delhi  ,29,Female,1264.56,23.6,0.0,5.0,UPI,No
CUST100470,2025-10-20,29/01/2024,21.0,Month-to-month,Mobile,North,Chandigarh,23,Female,317.17,44.5,4.0,2.0,Cash,No
CUST102092,2025-07-18,2024-08-22,11.0,Month-to-month,Mobile,South,kochi,51,Female,472.56,34.6,2.0,5.0,Net Banking,No
CUST102977,2025-08-31,08/04/2024,16.0,Month-to-month,BROADBAND,West,Surat,50,Female,830.09,103.2,1.0,,UPI,No
CUST101077,2025-11-05,2024-12-10,11.0,Month-to-month,Bundled,North,Delhi,60,Male,1208.18,40.7,1.0,,Net Banking,No
CUST100551,2025-11-15,2025-10-16,1.0,One year,  mobile  ,West,Surat,33,Female,473.19,28.6,0.0,5.0,Credit Card,No
CUST100639,2025-08-09,2025-06-10,2.0,Two year,Broadband,West,Ahmedabad,33,Female,826.68,145.3,0.0,4.0,Credit Card,No
CUST101117,2025-09-02,2025-03-06,6.0,One year,Broadband,East,kolkata,34,Female,778.43,148.8,1.0,4.0,Net Banking,No
CUST102448,2025-09-10,2024-09-15,12.0,One year,Broadband,West,Surat,37,Female,811.62,189.9,1.0,,Credit Card,No
CUST101026,2025-08-09,17/01/2024,19.0,Two year,Mobile,West,Mumbai,62,Female,306.98,65.8,1.0,5.0,UPI,No
CUST100844,2025-11-01,2024-09-07,14.0,Two year,Mobile,South,Bengaluru,18,Female,445.04,903.5013648683149,3.0,3.0,UPI,No
CUST100194,2025-12-01,10/02/2024,22.0,Two year,Bundled,South,Bengaluru,33,Female,1246.03,35.1,0.0,5.0,Net Banking,No
CUST101666,2025-11-17,2024-09-23,14.0,Month-to-month,Bundled,East,Kolkata,40,Male,1195.87,41.4,0.0,5.0,Net Banking,No
CUST102144,2025-11-27,06/02/2024,21.0,Month-to-month,Bundled,West,Ahmedabad,42,Male,1192.76,44.4,0.0,5.0,UPI,No
CUST102717,2025-10-03,11/05/2024,17.0,One year,BUNDLED,North,Jaipur,59,Female,1217.69,42.7,2.0,4.0,Credit Card,No
CUST100161,2025-08-08,2024-08-13,-12.0,Two year,BUNDLED,West,pune,31,Female,1120.54,43.3,1.0,4.0,UPI,No
CUST101343,2025-09-03,10/06/2024,-15.0,Month-to-month,  broadband  ,West,Pune,35,Female,812.52,118.8,0.0,5.0,Net Banking,No
CUST100193,2025-10-10,2024-08-16,14.0,Month-to-month,Mobile,South,Hyderabad,22,Female,346.78,65.3,1.0,3.0,Net Banking,No
CUST101685,2025-12-20,2025-02-23,10.0,Two year,Broadband,West,  Ahmedabad  ,-5,Male,788.15,91.4,0.0,5.0,UPI,No
CUST100746,2025-11-15,2025-03-20,8.0,Month-to-month,Broadband,West,pune,44,Female,772.17,131.6,0.0,5.0,Credit Card,No
CUST102818,2025-08-10,18/01/2024,19.0,Month-to-month,  bundled  ,East,  Patna  ,27,Male,,18.9,0.0,5.0,Cash,No
CUST100793,2025-10-17,24/06/2024,16.0,Month-to-month,Broadband,South,  Chennai  ,140,Male,785.52,282.1,1.0,4.0,Credit Card,No
CUST101776,2025-09-27,2024-07-04,14.0,One year,Broadband,West,Pune,26,Male,789.66,136.0,0.0,5.0,UPI,No
CUST102993,2025-08-19,27/01/2024,19.0,Month-to-month,Bundled,West,  Mumbai  ,50,Female,1189.89,32.5,0.0,5.0,Cash,No
CUST100097,2025-10-24,2025-08-25,2.0,Month-to-month,  bundled  ,East,Guwahati,39,Female,1197.76,21.2,1.0,5.0,UPI,No
CUST102275,2025-12-02,2024-11-07,13.0,Month-to-month,Bundled,West,Mumbai,31,Female,1212.99,40.9,0.0,4.0,Credit Card,Yes
CUST102097,2025-12-14,2024-08-21,16.0,One year,Mobile,North,Lucknow,45,Female,333.71,27.2,2.0,3.0,Cash,Yes
CUST100375,2025-09-23,2024-11-27,10.0,Month-to-month,Bundled,North,  Delhi  ,33,Female,1159.76,25.5,2.0,4.0,UPI,No
CUST101461,2025-11-15,24/02/2024,21.0,Month-to-month,Bundled,South,Hyderabad,48,Male,1235.23,14.5,0.0,5.0,Credit Card,No
CUST100458,2025-09-24,01/06/2024,15.0,Two year,  broadband  ,West,  Pune  ,38,Female,779.2,56.5,0.0,5.0,Credit Card,No
CUST100563,2025-07-31,2024-11-03,8.0,Month-to-month,Mobile,South,kochi,22,Female,318.76,33.1,,5.0,Cash,No
CUST101358,2025-12-01,2025-06-04,6.0,Month-to-month,BROADBAND,West,Surat,44,Male,816.08,222.7,2.0,2.0,UPI,Yes
CUST102855,2025-09-05,2024-10-10,11.0,Month-to-month,BROADBAND,North,Jaipur,41,Male,769.46,164.6,1.0,4.0,Credit Card,No
CUST100187,2025-12-03,12/04/2024,20.0,One year,Mobile,West,Pune,39,Female,505.25,37.3,0.0,5.0,UPI,No
CUST102494,2025-11-19,2024-12-24,11.0,One year,Mobile,North,  Chandigarh  ,46,Female,422.51,67.1,0.0,5.0,Credit Card,No
CUST101151,2025-09-20,2024-12-24,9.0,Month-to-month,Mobile,West,Mumbai,65,Male,12781.847857256575,17.8,0.0,5.0,UPI,No
CUST101304,2025-12-18,2025-10-19,2.0,One year,BROADBAND,South,chennai,34,Male,826.4,73.5,2.0,3.0,Cash,No
CUST100504,2025-12-19,28/02/2024,22.0,,Mobile,East,kolkata,31,Male,414.52,12.5,0.0,5.0,UPI,No
CUST102693,2025-10-09,2025-06-11,4.0,Two year,MOBILE,East,Patna,19,Male,297.42,22.3,1.0,4.0,Net Banking,No
CUST101713,2025-06-29,2024-11-01,7.0,Two year,Bundled,North,delhi,43,Female,1284.76,22.2,0.0,5.0,Credit Card,No
CUST100269,2025-11-02,2025-02-05,,Two year,Broadband,North,lucknow,35,Male,773.55,175.3,0.0,5.0,Credit Card,No
CUST101392,2025-10-30,08/02/2024,20.0,Month-to-month,  broadband  ,North,Lucknow,47,Male,843.63,124.7,0.0,5.0,UPI,No
CUST101716,2025-12-16,2025-01-20,11.0,Month-to-month,Mobile,West,Mumbai,57,Female,327.88,26.2,0.0,4.0,Net Banking,No
CUST101428,2025-12-01,2024-12-06,12.0,One year,BUNDLED,South,  Hyderabad  ,22,Female,1138.8,7.3,1.0,5.0,Credit Card,No
CUST100597,2025-11-16,2024-11-21,12.0,One year,MOBILE,North,  Delhi  ,28,Male,448.61,29.0,1.0,4.0,Net Banking,No
CUST102938,2025-09-13,2025-02-15,7.0,Two year,Bundled,North,Delhi,51,Male,1191.9,18.5,0.0,4.0,UPI,No
CUST100459,2025-10-07,16/03/2024,,Month-to-month,Bundled,South,Chennai,51,Male,1264.06,11.3,4.0,4.0,Cash,No
CUST101376,2025-10-01,2024-11-05,11.0,One year,Bundled,East,guwahati,54,Female,1219.87,20.0,0.0,5.0,Net Banking,No
CUST102505,2025-10-14,2025-02-16,8.0,Month-to-month,Broadband,East,Bhubaneswar,20,Female,786.99,50.2,1.0,5.0,UPI,No
CUST100771,2025-10-13,21/05/2024,17.0,One year,BUNDLED,West,surat,50,Male,1178.85,26.0,0.0,5.0,UPI,No
CUST101462,2025-11-06,2025-09-07,2.0,Month-to-month,Broadband,West,Surat,34,Female,,124.7,0.0,5.0,Credit Card,No
CUST101251,2025-10-15,24/01/2024,21.0,Two year,Mobile,North,Chandigarh,18,Male,450.34,29.8,2.0,4.0,Net Banking,No
CUST100920,2025-11-14,22/06/2024,-17.0,Month-to-month,Mobile,East,Bhubaneswar,52,Male,334.52,28.8,1.0,5.0,Net Banking,No
CUST100049,2025-11-02,2025-08-04,3.0,Month-to-month,Bundled,North,Lucknow,49,Male,1189.12,9.8,0.0,4.0,Net Banking,No
CUST102996,2025-07-01,2025-01-02,6.0,Month-to-month,MOBILE,North,Lucknow,49,Female,323.62,19.1,2.0,5.0,UPI,No
CUST101950,2025-12-20,2025-01-24,11.0,Two year,Broadband,West,  Pune  ,43,Female,849.76,120.6,1.0,5.0,Cash,No
CUST100505,2025-10-21,2024-10-26,12.0,Month-to-month,MOBILE,East,Patna,53,Male,400.14,16.8,0.0,5.0,Net Banking,No
CUST101749,2025-11-25,2025-03-30,8.0,Month-to-month,Mobile,East,Kolkata,25,Female,438.42,46.8,0.0,4.0,Cash,No
CUST101349,2025-12-18,2025-08-20,4.0,Two year,Mobile,East,  Bhubaneswar  ,43,Male,394.52,13.7,0.0,5.0,UPI,No
